country1,country2,value
antiguabarbuda,tuvalu,27
antiguabarbuda,twosicilies,1
antiguabarbuda,uae,24
antiguabarbuda,uk,35
antiguabarbuda,usa,28
antiguabarbuda,uganda,33
antiguabarbuda,ukraine,25
antiguabarbuda,uruguay,34
antiguabarbuda,uzbekistan,20
antiguabarbuda,vanuatu,32
antiguabarbuda,venezuela,36
antiguabarbuda,vietnam,23
antiguabarbuda,wsamoa,28
antiguabarbuda,yemen,26
antiguabarbuda,yugoslaviaserb,26
antiguabarbuda,zaire,29
antiguabarbuda,zambia,31
antiguabarbuda,zanzibar,1
antiguabarbuda,zimbabwe,29
argentina,afghanistan,26
argentina,albania,39
argentina,algeria,55
argentina,andorra,18
argentina,angola,41
argentina,antiguabarbuda,37
argentina,armenia,31
argentina,australia,51
argentina,austria,56
argentina,azerbaijan,33
argentina,bahamas,44
argentina,bahrain,33
argentina,bangladesh,40
argentina,barbados,41
argentina,belarus,30
argentina,belgium,61
argentina,belize,50
argentina,benin,46
argentina,bhutan,23
argentina,bolivia,65
argentina,bosnia,35
argentina,botswana,37
argentina,brazil,84
argentina,brunei,27
argentina,bulgaria,47
argentina,burkinafaso,46
argentina,burundi,39
argentina,car,38
argentina,cambodia,35
argentina,cameroon,52
argentina,canada,61
argentina,capeverde,39
argentina,chad,41
argentina,chile,75
argentina,china,55
argentina,colombia,72
argentina,comoros,37
argentina,congobrazz,47
argentina,costarica,65
argentina,croatia,48
argentina,cuba,54
argentina,cyprus,43
argentina,czechrep,43
